n,area_wide,area_narrow,relative_error_wide,relative_error_narrow
100,0.777771,0.883728,0.17654118780345038,0.06436006332862451
600,0.826382,0.935712,0.12507468118429585,0.009322419995014156
1100,0.857316,0.955797,0.09232355662901147,0.011942412768058413
1600,0.874992,0.95683,0.07360923330712593,0.013036093238272647
2100,0.888881,0.946851,0.05890436588136962,0.002470906972766044
2600,0.923603,0.949208,0.022142726687971404,0.004966361830747779
3100,0.915762,0.94745,0.030444322590149724,0.003105093421612487
3600,0.926304,0.947625,0.019283064587246466,0.0032903732689382754
4100,0.92716,0.950927,0.0183767814483274,0.006786339302478917
4600,0.92783,0.950403,0.017667424318565893,0.006231558502486417
5100,0.943619,0.95355,0.0009509471218443989,0.009563419528395779
5600,0.9427,0.951725,0.0019239310058007714,0.007631215406284419
6100,0.961057,0.952969,0.017511395607678153,0.008948290435274231
6600,0.970741,0.955009,0.02776425298769273,0.011108124084100165
7100,0.981799,0.958226,0.03947182185471073,0.014514097048939844
7600,0.963259,0.954693,0.019842745458028374,0.010773561616929115
8100,0.961411,0.9532,0.01788619027026849,0.00919285983374432
8600,0.966561,0.952637,0.023338711491569134,0.008596788096347665
9100,0.969008,0.951136,0.025929453128175458,0.007007616377285114
9600,0.966137,0.949926,0.02288980489004848,0.005726538575775711
10100,0.961625,0.950381,0.018112761054998202,0.006208266178822644
10600,0.96029,0.952509,0.01669934050539893,0.008461269122303787
11100,0.95382,0.953157,0.009849279864269787,0.009147333928401405
11600,0.94288,0.951061,0.001733357448551355,0.006928210728431288
12100,0.940878,0.951393,0.003852958901958002,0.007279713067357854
12600,0.935177,0.950977,0.009888846956838542,0.006839276401714839
13100,0.938817,0.951089,0.0060350261324629605,0.006957855504003321
13600,0.93933,0.951766,0.005491891494302347,0.007674623827657836
14100,0.939806,0.952118,0.004987930309576272,0.008047301006278793
14600,0.93226,0.950577,0.012977197326262685,0.006415779607827457
15100,0.932295,0.95086,0.012940141356797526,0.006715403589502848
15600,0.934821,0.949791,0.01026575910339838,0.005583608407838707
16100,0.932963,0.949838,0.012232901711005518,0.005633369281120383
16600,0.935902,0.950665,0.009121259017917603,0.006508948902482666
17100,0.939238,0.950532,0.0055892957568964355,0.006368136218515161
17600,0.94128,0.949816,0.003427344624101121,0.00561007695745661
18100,0.945357,0.949067,0.0008891464475965002,0.004817079210902398
18600,0.944511,0.948149,6.549271475427175e-06,0.003845154068930775
19100,0.945236,0.948504,0.0007610386674455128,0.004221007473505863
19600,0.942452,0.94831,0.002186499018011005,0.00401561152847043
20100,0.942709,0.947415,0.0019144023279382652,0.003068037452147329
20600,0.943425,0.946752,0.0011563430668798313,0.0023660915162789474
21100,0.946872,0.947168,0.002493140554445186,0.0028065281819218443
21600,0.950609,0.946482,0.006449659351338484,0.0020802311804049406
22100,0.948458,0.94712,0.004172305342208818,0.002755708566655302
22600,0.948554,0.947615,0.004273944572741785,0.0032797858490910205
23100,0.947382,0.946401,0.003033098966651552,0.0019944730796427387
23600,0.949144,0.945294,0.004898602343725722,0.0008224457025591928
24100,0.948413,0.945688,0.004124661952896406,0.0012395900445383164
24600,0.943759,0.945538,0.0008027232439837678,0.001080778746830548
25100,0.942389,0.94555,0.002253199763048195,0.0010934836506471836
25600,0.944111,0.94485,0.00043004606536280995,0.00035236426134414617
26100,0.944276,0.944027,0.0002553536378842763,0.0005189803920792591
26600,0.944071,0.943969,0.0004723957447515952,0.0005803874271929389
27100,0.946025,0.943673,0.0015963860933885094,0.0008937750546695975
27600,0.946499,0.944188,0.002098229794145086,0.0003485229325394864
28100,0.943843,0.944083,0.0007137889172674363,0.00045969084093495965
28600,0.943659,0.943119,0.0009085974424556136,0.0014803181142036272
29100,0.946488,0.943349,0.0020865836323131996,0.0012368074577184059
29600,0.948237,0.942869,0.003938323363585986,0.001745003610383359
30100,0.949927,0.943095,0.0057275973177603415,0.0015057279218368986
30600,0.950609,0.943144,0.006449659351338484,0.0014538495645857246
31100,0.949393,0.942691,0.0051622290979207045,0.0019334596836632773
31600,0.953754,0.942991,0.009779402893278348,0.0016158370882476227
32100,0.95283,0.943242,0.00880112529939835,0.0013500928500832594
32600,0.952233,0.942928,0.008169056334521405,0.0016825378332849302
33100,0.949891,0.942701,0.005689482606310553,0.0019228722638160221
33600,0.952538,0.943602,0.00849197263986057,0.0009689457355845445
34100,0.948265,0.943068,0.003967968139158135,0.0015343139554242992
34600,0.947768,0.9436,0.003441773372753036,0.0009710632195540425
35100,0.94867,0.944191,0.0043967586429691456,0.0003453467065853569
35600,0.947089,0.943999,0.002722887565129023,0.0005486251676512912
36100,0.947976,0.94428,0.0036619917055744845,0.00025111866994539776
36600,0.948572,0.944198,0.00429300192846668,0.00033793551269234884
37100,0.948367,0.944259,0.004075959821599361,0.00027335225162453944
37600,0.94584,0.944215,0.001400518826215583,0.0003199368989520857
38100,0.948993,0.944308,0.004738732304033205,0.00022147389437324807
38600,0.948286,0.944297,0.003990201720837159,0.00023312005620513464
39100,0.948841,0.944021,0.004577803522356055,0.0005253328439875181
39600,0.949627,0.944704,0.005409974722344805,0.00019778793157525617
40100,0.948696,0.944722,0.004424285934571797,0.00021684528730015078
40600,0.95162,0.944931,0.0075200474978889455,0.00043812236210634826
41100,0.949742,0.944755,0.005531730050587416,0.00025178377279592805
41600,0.950946,0.944584,0.00680645540018856,7.073889340901783e-05
42100,0.950275,0.944633,0.006096039528442421,0.00012261725066019165
42600,0.951674,0.94459,0.007577219565063747,7.70913453173944e-05
43100,0.950333,0.94515,0.0061574465635561015,0.0006699868567598008
43600,0.951476,0.945429,0.007367588652089436,0.0009653758704961962
44100,0.951932,0.946056,0.007850374997121119,0.0016292070949147886
44600,0.949979,0.946289,0.005782651900965763,0.0018758939773542572
45100,0.951303,0.946057,0.007184426288733146,0.0016302658368995376
45600,0.948548,0.945943,0.004267592120833409,0.0015095692506415582
46100,0.949648,0.94603,0.005432208304023947,0.0016016798033121368
46600,0.950099,0.946449,0.005909700939132001,0.0020452926949091634
47100,0.951366,0.946583,0.007251127033770453,0.002187164120861418
47600,0.953423,0.94677,0.009428959296336532,0.002385148872003842
48100,0.952001,0.946465,0.007923428194066684,0.002062232566664677
48600,0.953009,0.946622,0.008990640114663016,0.002228455058265454
49100,0.954591,0.946485,0.01066556993448777,0.00208340740635907
49600,0.952613,0.946769,0.008571378288714512,0.002384090130019093
50100,0.953584,0.94697,0.009599416755876188,0.0025968972689475334
50600,0.955113,0.946705,0.01121823325051089,0.002316330642997154
51100,0.955281,0.946343,0.01139610190394367,0.0019330660445290586
51600,0.953937,0.946038,0.009973152676481896,0.001610149739189894
52100,0.954673,0.946114,0.010752386777234722,0.0016906141300284685
52600,0.954655,0.946237,0.010733329421509827,0.0018208393941488363
53100,0.955003,0.946285,0.011101771632191906,0.0018716590094153788
53600,0.954257,0.946114,0.010311950111591825,0.0016906141300284685
54100,0.954423,0.946234,0.010487701281055107,0.0018176631681947068
54600,0.954942,0.946375,0.011037188371123979,0.001966945788039969
55100,0.952628,0.945713,0.008587259418485278,0.0012660585941563368
55600,0.950531,0.945412,0.006367077476530412,0.0009473772567560506
56100,0.950031,0.944747,0.005837706484171066,0.00024331383691817096
56600,0.948853,0.944805,0.004590508426172574,0.0003047208720318509
57100,0.947695,0.944179,0.0033644852078684733,0.0003580516104019925
57600,0.946389,0.944331,0.001981768175826103,0.0001971228287247259
58100,0.947113,0.944122,0.002748297372762294,0.0004183999035309234
58600,0.948489,0.944139,0.004205126343735098,0.0004004012897907778
59100,0.947374,0.943914,0.003024629030773912,0.0006386182363523718
59600,0.947908,0.943431,0.0035899972506135496,0.0011499906149714547
60100,0.948434,0.943561,0.004146895534575547,0.0010123541569580787
60600,0.947988,0.943776,0.00367469660939112,0.0007847246302436223
61100,0.948028,0.943944,0.0037170462887797877,0.0006068559768108416
61600,0.949013,0.944341,0.004759907143727597,0.00018653540887758835
62100,0.948887,0.944083,0.0046265056536531,0.00045969084093495965
62600,0.94752,0.944182,0.0031792053605428023,0.00035487538444786297
63100,0.946637,0.943909,0.002244336188036219,0.0006439119462759993
63600,0.946227,0.943906,0.0018102519743016987,0.0006470881722301289
64100,0.946581,0.944106,0.0021850466368920373,0.0004353397752864375
64600,0.945576,0.943618,0.0011210109422498352,0.0009520058638291479
65100,0.946676,0.943597,0.0022856271254402555,0.000974239445508172
65600,0.946723,0.943735,0.0023353879987220486,0.0008281330516170391
66100,0.947651,0.944225,0.003317900560540927,0.00030934947910494815
66600,0.947835,0.944122,0.0035127090857291045,0.0004183999035309234
67100,0.948162,0.944098,0.003858917714732042,0.00044380971116419457
67600,0.947045,0.944132,0.0026763029178014765,0.0004078124836837858
68100,0.94566,0.944128,0.0012099452689661669,0.00041204745162266436
68600,0.945712,0.944218,0.0012649998521715876,0.0003167606729979562
69100,0.945481,0.94457,0.001020430453701617,5.5916505623001745e-05
69600,0.944556,0.944619,4.109411783686812e-05,0.00010779486287417557
70100,0.944476,0.944629,4.360524094058492e-05,0.00011838228272143066
70600,0.944672,0.944585,0.00016390818806422792,7.179763539376685e-05
71100,0.946643,0.944559,0.002250688639944596,4.427034379111518e-05
71600,0.945871,0.944261,0.0014333398277418623,0.0002712347676550414
72100,0.946189,0.9444,0.001770019778882294,0.00012406963177915943
72600,0.9461,0.944412,0.0016757917422424524,0.00011136472796252385
73100,0.94588,0.944406,0.0014428685056043684,0.00011771717987090041
73600,0.944474,0.9444,4.5722724909965416e-05,0.00012406963177915943
74100,0.94453,0.944446,1.3566826234216455e-05,7.536750048211511e-05
74600,0.945106,0.944649,0.000623402209432137,0.00013955712241570578
75100,0.946193,0.944832,0.0017742547468211725,0.0003333069056192516
75600,0.947651,0.94484,0.003317900560540927,0.00034177684149700865
76100,0.947557,0.944541,0.0032183788139773404,2.5212988066103025e-05
76600,0.948226,0.944755,0.003926677201754099,0.00025178377279592805
77100,0.948507,0.944679,0.004224183699459992,0.0001713193819573535
77600,0.947157,0.944638,0.0027948820200899577,0.0001279109605838192
78100,0.948437,0.944731,0.0041500717605296765,0.00022637396516265686
78600,0.94797,0.944624,0.0036556392536661077,0.00011308857279780312
79100,0.948,0.944699,0.003687401513207638,0.00019249422165162861
79600,0.947175,0.944741,0.0028139393758148524,0.00023696138500991194
80100,0.947574,0.944717,0.0032363774277176034,0.00021155157737664078
80600,0.947486,0.944564,0.0031432081330623933,4.9564053714625184e-05
81100,0.946919,0.944686,0.0025429014277268615,0.00017873057585036155
81600,0.945287,0.944535,0.0008150345086661848,1.8860536157844002e-05
82100,0.944977,0.94502,0.00048682449340339254,0.0005323503987463074
82600,0.945142,0.944869,0.0006615169208820437,0.0003724803590537898
83100,0.945422,0.944751,0.0009579646766031881,0.0002475488048570495
83600,0.946513,0.944868,0.00211305218193122,0.00037142161706915834
84100,0.94655,0.944876,0.002152225635365758,0.0003798915529469154
84600,0.946242,0.945129,0.001826133104072464,0.0006477532750806591
85100,0.946966,0.945196,0.002592662301008655,0.0007186889880568451
85600,0.946545,0.945277,0.0021469319254421304,0.0008044470888190472
86100,0.945114,0.945085,0.000631872145309894,0.0006011686277529953
86600,0.944709,0.945121,0.00020308164149888372,0.000639283339202902
87100,0.944308,0.945246,0.00022147389437324807,0.0007716260872927679
87600,0.944246,0.944999,0.0002871158974258065,0.0005101168170672832
88100,0.944846,0.944917,0.00034812929340526767,0.0004232999743203322
88600,0.94511,0.944997,0.0006276371773710155,0.0005079993330977852
89100,0.945044,0.945003,0.0005577602063795785,0.0005143517850061618
89600,0.944002,0.945198,0.0005454489416971617,0.0007208064720262256
90100,0.942648,0.945088,0.0019789855890060748,0.0006043448537072423
90600,0.942596,0.945136,0.0020340401722114955,0.0006551644689736672
91100,0.942759,0.945227,0.0018614652287023423,0.0007515099895831244
91600,0.943344,0.94492,0.0012421011676420333,0.0004264762002744617
92100,0.943396,0.944672,0.0011870465844366124,0.00016390818806422792
92600,0.943446,0.94468,0.0011341094852006896,0.00017237812394198498
93100,0.943601,0.944464,0.0009700044775692935,5.631014475722051e-05
93600,0.944065,0.944459,0.00047874819665985423,6.160385468073051e-05
94100,0.944835,0.944523,0.0003364831315733811,6.155632341208414e-06
94600,0.94611,0.944642,0.00168637916208959,0.00013214592852269774
95100,0.945531,0.944759,0.00107336755293754,0.00025601874073480656
95600,0.944959,0.944494,0.00046776713767849795,2.454788521569031e-05
96100,0.944393,0.94434,0.00013148082567216747,0.00018759415086233737
96600,0.942826,0.94404,0.0017905295157261563,0.0005052167462778744
97100,0.942777,0.943863,0.0018424078729774478,0.0006926140775730436
97600,0.943027,0.943901,0.0015777223767978335,0.0006523818821537565
98100,0.94387,0.943965,0.0006852028836800356,0.0005846223951317
98600,0.945394,0.94395,0.0009283199010310384,0.0006005035249025826
99100,0.944254,0.943725,0.00027864596154804946,0.0008387204714641767
99600,0.944785,0.943684,0.0002835460323374582,0.0008821288928377109
